Date,Risk Level,Premium (USD),Suggessted Price (USD),NotificationID
1-Jan-21,Low,20,20,
2-Jan-21,Low,20,20,
3-Jan-21,Low,20,20,
4-Jan-21,Low,20,20,
5-Jan-21,Low,20,20,
6-Jan-21,Low,20,20,
7-Jan-21,Low,20,20,
8-Jan-21,Low,20,20,
9-Jan-21,Low,20,20,
10-Jan-21,Low,20,20,
11-Jan-21,Low,20,20,
12-Jan-21,Low,20,20,
13-Jan-21,Low,20,20,
14-Jan-21,Low,20,20,
15-Jan-21,Low,20,20,
16-Jan-21,Low,20,20,
17-Jan-21,Low,20,20,
18-Jan-21,Low,20,20,
19-Jan-21,Low,20,20,
20-Jan-21,Low,20,20,
21-Jan-21,Low,20,20,
22-Jan-21,Low,20,20,
23-Jan-21,Low,20,20,
24-Jan-21,Low,20,20,
25-Jan-21,Low,20,20,
26-Jan-21,Low,20,20,
27-Jan-21,Low,20,20,
28-Jan-21,Low,20,20,
29-Jan-21,Low,20,20,
30-Jan-21,Low,20,20,
31-Jan-21,Low,20,20,
1-Feb-21,High,20,1500,688E620245832C3994592EAD46EA1385
2-Feb-21,High,20,1500,688E620245832C3994592EAD46EA1385
3-Feb-21,High,20,20,
4-Feb-21,Mid,20,20,
5-Feb-21,Mid,20,20,
6-Feb-21,Mid,20,20,
7-Feb-21,Low,20,20,
8-Feb-21,Low,20,20,
9-Feb-21,Low,20,20,
10-Feb-21,High,20,1500,0615C1A495219366A420B228E5833CE0
11-Feb-21,High,20,1500,0615C1A495219366A420B228E5833CE0
12-Feb-21,Low,20,20,
13-Feb-21,High,20,1500,0615C1A495219366A420B228E5833CE0
14-Feb-21,High,20,1500,0615C1A495219366A420B228E5833CE0
15-Feb-21,Low,20,20,
16-Feb-21,Low,20,20,
17-Feb-21,Low,20,20,
18-Feb-21,Low,20,20,
19-Feb-21,Low,20,20,
20-Feb-21,Low,20,20,
21-Feb-21,Mid,20,20,
21-Feb-21,Mid,20,20,
22-Feb-21,Low,20,20,
23-Feb-21,Low,20,20,
24-Feb-21,Low,20,20,
25-Feb-21,Low,20,20,
26-Feb-21,Low,20,20,
27-Feb-21,Low,20,20,
28-Feb-21,Low,20,20,
1-Mar-21,Low,22,20,
2-Mar-21,Low,22,20,
3-Mar-21,Low,22,20,
4-Mar-21,Low,22,20,
5-Mar-21,Low,22,20,
6-Mar-21,Low,22,20,
7-Mar-21,Low,22,20,
8-Mar-21,Low,22,20,
9-Mar-21,Low,22,20,
10-Mar-21,Low,22,20,
11-Mar-21,Mid,22,1000,
12-Mar-21,High,22,1500,985AED4AC97FD0FF2ED11B43A6B399BA
13-Mar-21,High,22,1500,985AED4AC97FD0FF2ED11B43A6B399BA
14-Mar-21,High,22,1500,985AED4AC97FD0FF2ED11B43A6B399BA
15-Mar-21,Low,22,20,
16-Mar-21,Low,22,20,
17-Mar-21,Low,22,20,
18-Mar-21,Low,22,20,
19-Mar-21,Low,22,20,
20-Mar-21,Low,22,20,
21-Mar-21,Low,22,20,
22-Mar-21,Low,22,20,
23-Mar-21,Low,22,20,
24-Mar-21,Mid,22,20,
25-Mar-21,Low,22,20,
26-Mar-21,Low,22,20,
27-Mar-21,Low,22,20,
28-Mar-21,Mid,22,1000,
29-Mar-21,High,22,1500,7A17F44B241E823957BD856A02E2AED2
30-Mar-21,High,22,1500,7A17F44B241E823957BD856A02E2AED2
31-Mar-21,High,22,1500,7A17F44B241E823957BD856A02E2AED2
01-Apr-21,Mid,22,1000,
02-Apr-21,Mid,22,800,
03-Apr-21,Mid,22,800,
04-Apr-21,Mid,22,800,
05-Apr-21,Low,22,1000,
06-Apr-21,High,22,1000,7A17F44B241E823957BD856A02E2AED2
07-Apr-21,High,22,1000,7A17F44B241E823957BD856A02E2AED2
08-Apr-21,Low,22,20,
09-Apr-21,Low,22,20,
10-Apr-21,Low,22,20,
11-Apr-21,Low,22,20,
12-Apr-21,Low,22,20,
13-Apr-21,Low,22,20,
14-Apr-21,Low,22,20,
15-Apr-21,Low,22,20,
16-Apr-21,Low,22,20,
17-Apr-21,Low,22,20,
18-Apr-21,Low,22,20,
19-Apr-21,Low,22,20,
20-Apr-21,Low,22,20,
21-Apr-21,Low,22,20,
22-Apr-21,Low,22,20,
23-Apr-21,Low,22,20,
24-Apr-21,Low,22,20,
25-Apr-21,Low,22,20,
26-Apr-21,Low,22,20,
27-Apr-21,Low,22,20,
28-Apr-21,Low,22,20,
29-Apr-21,Low,22,20,
30-Apr-21,Low,22,20,
01-May-21,Low,22,20,
02-May-21,Low,22,20,
03-May-21,Low,22,800,
04-May-21,Low,22,800,
<<<<<<< HEAD
05-May-21,Low,22,800,
06-May-21,Mid,22,800,
=======
05-May-21,Low,22,800,
>>>>>>> b4be9f43c1cc2a4833f9df1f702d48269b6c2b11
06-May-21,Mid,22,800,
07-May-21,Low,22,800,
08-May-21,Low,22,800,
09-May-21,Low,22,800,
10-May-21,High,22,1500,
11-May-21,High,22,1500,
12-May-21,Low,22,800,
15-May-21,Low,22,20,
16-May-21,Low,22,20,
17-May-21,Low,22,20,
18-May-21,Low,22,20,
19-May-21,Low,22,20,
20-May-21,Low,22,20,
21-May-21,High,22,1500,
22-May-21,High,22,1500,
23-May-21,High,22,1500,
24-May-21,Mid,22,1000,
25-May-21,Low,22,20,
26-May-21,Low,22,20,
27-May-21,Low,22,20,
28-May-21,Low,22,20,
28-May-21,Low,22,20,
30-May-21,Low,22,20,
31-May-21,Low,22,20,
01-Jun-21,Low,22,20,
02-Jun-21,Low,22,20,
03-Jun-21,Low,22,20,
